id_disciplina;id_unidade;codigo;nome;nivel;id_tipo_componente;id_curso;id_modalidade_educacao;ch_teorico;ch_pratico;ch_total
14654;617;9022100;TESTE-DOC;G;2;76320;1;36;0;36
14653;523;1014083;ATIVIDADES COMPLEMENTARES DE GRADUAÇÃO;G;1;1304109;1;0;0;150
14652;523;1014072;COMPONENTE CURRICULAR COMPLEMENTAR DE GRADUAÇÃO V;G;2;1304109;1;60;0;60
14651;523;1014071;COMPONENTE CURRICULAR COMPLEMENTAR DE GRADUAÇÃO IV;G;2;1304109;1;45;0;45
14650;523;1014070;COMPONENTE CURRICULAR COMPLEMENTAR DE GRADUAÇÃO III;G;2;1304109;1;60;0;60
14649;523;1014069;COMPONENTE CURRICULAR COMPLEMENTAR DE GRADUAÇÃO II;G;2;1304109;1;60;0;60
14648;523;1014068;COMPONENTE CURRICULAR COMPLEMENTAR DE GRADUAÇÃO I;G;2;1304109;1;45;0;45
14647;523;1014082;ENGENHARIA ASSISTIDA POR COMPUTADOR;G;2;1304109;1;30;30;60
14646;523;1014081;PROJETO DE MÁQUINAS AGRÍCOLAS;G;2;1304109;1;45;15;60
14645;523;1014080;SENSORIAMENTO REMOTO;G;2;1304109;1;45;15;60
14644;523;1014079;MATEMÁTICA FINANCEIRA PARA ENGENHARIA;G;2;1304109;1;45;15;60
14643;523;1014078;LINGUAGEM BRASILEIRA DE SINAIS - LIBRAS;G;2;1304109;1;45;15;60
14642;523;1014077;MANEJO DE SISTEMAS PASTORIS;G;2;1304109;1;45;15;60
14641;523;1014076;DESENHO DIGITAL;G;2;1304109;1;15;15;30
14640;523;1014075;DESENHO COMPUTACIONAL;G;2;1304109;1;30;15;45
14639;523;1014074;BIOSSISTEMAS DA PRODUÇÃO AGRÍCOLA;G;2;1304109;1;30;15;45
14638;523;1014073;AGRICULTURA DE PRECISÃO;G;2;1304109;1;30;15;45
14637;523;1014067;PROJETOS DE SILOS E ARMAZÉNS;G;2;1304109;1;30;30;60
14636;523;1014066;PROJETOS INTEGRADOS DE ENGENHARIA;G;2;1304109;1;15;15;30
14635;523;1014064;PROJETOS DE CONSTRUÇÕES;G;2;1304109;1;30;0;30
14634;523;1014065;SISTEMAS DE ENERGIA ELÉTRICA;G;2;1304109;1;30;0;30
14633;523;1014059;MANEJO E CONSERVAÇÃO DO SOLO E DA ÁGUA;G;2;1304109;1;45;15;60
14632;523;1014060;CONSTRUÇÕES RURAIS E AMBIÊNCIA;G;2;1304109;1;45;15;60
14631;523;1014062;MÁQUINAS AGRÍCOLAS III;G;2;1304109;1;45;15;60
14630;523;1014061;SOCIOLOGIA E EXTENSÃO RURAL;G;2;1304109;1;30;0;30
14629;523;1014063;INSTALAÇÕES ELÉTRICAS PREDAIS;G;2;1304109;1;45;15;60
14628;523;1014056;MÁQUINAS AGRÍCOLAS II;G;2;1304109;1;45;15;60
14627;523;1014058;HIDROLOGIA;G;2;1304109;1;45;15;60
14626;523;1014057;ESTRUTURAS DE CONCRETO;G;2;1304109;1;60;15;75
14625;523;1014052;PROJETO DE OBRAS DE TERRA;G;2;1304109;1;60;0;60
14624;523;1014055;MÁQUINAS AGRÍCOLAS I;G;2;1304109;1;30;30;60
14623;523;1014053;HIDRÁULICA AGRÍCOLA;G;2;1304109;1;30;30;60
14622;523;1014054;ESTRUTURAS DE AÇO E MADEIRA;G;2;1304109;1;30;15;45
14621;523;1014051;ESTABILIDADE DAS ESTRUTURAS I;G;2;1304109;1;45;15;60
14619;523;1014048;TÓPICOS EM MÁQUINAS ELÉTRICAS;G;2;1304109;1;30;0;30
14618;523;1014050;ELEMENTOS DE MÁQUINAS AGRÍCOLAS;G;2;1304109;1;30;30;60
14617;523;1014049;MECÂNICA DOS SOLOS;G;2;1304109;1;30;30;60
14616;523;1014046;RESISTÊNCIA DOS MATERIAIS;G;2;1304109;1;60;15;75
14615;523;1014047;ELETROTÉCNICA;G;2;1304109;1;30;15;45
14614;523;1014045;FENÔMENOS DE TRANSFERÊNCIA;G;2;1304109;1;60;0;60
14613;523;1014044;GEOLOGIA DDA ENGENHARIA;G;2;1304109;1;30;15;45
14612;523;1014043;MATERIAIS DE CONSTRUÇÃO;G;2;1304109;1;45;15;60
14611;523;1014042;DESENHO TÉCNICO II;G;2;1304109;1;15;15;30
14610;523;1014041;MECÂNICA GERAL;G;2;1304109;1;45;15;60
14609;523;1014040;ALGORITMOS E PROGRAMAÇÃO;G;2;1304109;1;30;30;60
14608;523;1014039;INTRODUÇÃO A CIÊNCIA E TECNOLOGIA;G;2;1304109;1;15;15;30
14607;523;1014038;DESENHO TÉCNICO I;G;2;1304109;1;15;15;30
14606;520;1012139;ESTÁGIO SUPERVISIONADO OBRIGATÓRIO;G;1;283646;1;0;0;360
14605;520;1012138;ATIVIDADES COMPLEMENTARES DE CURSO;G;1;283646;1;0;0;400
14604;520;1012123;ATIVIDADES COMPLEMENTARES DE CURSO;G;1;283646;1;0;0;400
14603;150;TESTEALIM;TESTE DE FLEXIBILIDADE DE HORÁRIO;T;2;3065;1;40;0;40
14602;919;4006063;TÓPICOS ESPECIAIS EM MECÂNICA;G;2;5623119;1;36;0;36
14601;919;4006056;TÓPICOS ESPECIAIS EM MECÂNICA;G;2;5623119;1;36;0;36
14600;919;4006049;TÓPICOS ESPECIAIS EM MECÂNICA;G;2;5623119;1;36;0;36
14599;919;4006062;TÓPICOS ESPECIAIS EM ELETRICIDADE;G;2;5623119;1;36;0;36
14598;919;4006055;TÓPICOS ESPECIAIS EM ELETRICIDADE;G;2;5623119;1;36;0;36
14597;919;4006048;TÓPICOS ESPECIAIS EM ELETRICIDADE;G;2;5623119;1;36;0;36
14596;919;4006061;TÓPICOS ESPECIAIS EM AUTOMAÇÃO;G;2;5623119;1;36;0;36
14595;919;4006054;TÓPICOS ESPECIAIS EM AUTOMAÇÃO;G;2;5623119;1;36;0;36
14594;919;4006047;TÓPICOS ESPECIAIS EM AUTOMAÇÃO;G;2;5623119;1;36;0;36
14593;919;4006060;EQUIPAMENTOS DE PÓS-COLHEITA;G;2;5623119;1;36;0;36
14592;919;4006053;EQUIPAMENTOS DE PÓS-COLHEITA;G;2;5623119;1;36;0;36
14591;919;4006046;EQUIPAMENTOS DE PÓS-COLHEITA;G;2;5623119;1;36;0;36
14590;919;4006059;GESTÃO DE PESSOAS NAS ORGANIZAÇÕES;G;2;5623119;1;36;0;36
14589;919;4006052;GESTÃO DE PESSOAS NAS ORGANIZAÇÕES;G;2;5623119;1;36;0;36
14588;919;4006045;GESTÃO DE PESSOAS NAS ORGANIZAÇÕES;G;2;5623119;1;36;0;36
14587;919;4006058;INGLÊS INSTRUMENTAL;G;2;5623119;1;36;0;36
14586;919;4006051;INGLÊS INSTRUMENTAL;G;2;5623119;1;36;0;36
14585;919;4006044;INGLÊS INSTRUMENTAL;G;2;5623119;1;36;0;36
14584;919;4006057;LIBRAS;G;2;5623119;1;36;0;36
14583;919;4006050;LIBRAS;G;2;5623119;1;36;0;36
14582;919;4006043;LIBRAS;G;2;5623119;1;36;0;36
14581;189;1003190;REDES DE COMPUTADORES II;N;2;2399343;1;66;0;66
14580;189;1003189;PROGRAMAÇÃO III;N;2;2399343;1;66;0;66
14579;189;1003188;TÓPICOS EMERGENTES EM INFORMÁTICA;N;2;2399343;1;133;0;133
14578;189;1003187;FÍSICA;N;2;2399343;1;100;0;100
14577;189;1003186;SOCIOLOGIA;N;2;2399343;1;66;0;66
14576;189;1003185;GEOGRAFIA;N;2;2399343;1;66;0;66
14575;189;1003184;BIOLOGIA;N;2;2399343;1;66;0;66
14574;189;1003183;QUÍMICA;N;2;2399343;1;100;0;100
14573;189;1003182;MATEMÁTICA;N;2;2399343;1;133;0;133
14572;189;1003181;HISTÓRIA;N;2;2399343;1;66;0;66
14571;189;1003180;EDUCAÇÃO FÍSICA;N;2;2399343;1;66;0;66
14570;189;1003179;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;N;2;2399343;1;133;0;133
14569;189;1003178;HARDWARE II;N;2;2399343;1;66;0;66
14568;189;1003177;ANÁLISE E MODELAGEM DE SISTEMAS;N;2;2399343;1;66;0;66
14567;189;1003176;PROGRAMAÇÃO II;N;2;2399343;1;66;0;66
14566;189;1003175;BANCO DE DADOS;N;2;2399343;1;66;0;66
14565;189;1003174;REDES DE COMPUTADORES I;N;2;2399343;1;66;0;66
14564;189;1003173;FILOSOFIA;N;2;2399343;1;33;0;33
14563;189;1003172;FÍSICA;N;2;2399343;1;66;0;66
14562;189;1003171;LÍNGUA INGLESA;N;2;2399343;1;66;0;66
14561;189;1003170;SOCIOLOGIA;N;2;2399343;1;33;0;33
14560;189;1003169;GEOGRAFIA;N;2;2399343;1;66;0;66
14559;189;1003168;BIOLOGIA;N;2;2399343;1;66;0;66
14558;189;1003167;QUÍMICA;N;2;2399343;1;66;0;66
14557;189;1003166;MATEMÁTICA;N;2;2399343;1;100;0;100
14556;189;1003165;EDUCAÇÃO FÍSICA;N;2;2399343;1;66;0;66
14555;189;1003164;HISTÓRIA;N;2;2399343;1;66;0;66
14554;189;1003163;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;N;2;2399343;1;100;0;100
14553;189;1003162;PROGRAMAÇÃO I;N;2;2399343;1;100;0;100
14552;189;1003161;FUNDAMENTOS DA INFORMÁTICA E APLICATIVOS;N;2;2399343;1;66;0;66
14551;189;1003160;HARDWARE I;N;2;2399343;1;66;0;66
14550;189;1003159;INTRODUÇÃO À ELETRÔNICA;N;2;2399343;1;66;0;66
14549;189;1003158;FILOSOFIA;N;2;2399343;1;66;0;66
14548;189;1003157;FÍSICA;N;2;2399343;1;100;0;100
14547;189;1003156;LÍNGUA INGLESA;N;2;2399343;1;66;0;66
14546;189;1003155;QUÍMICA;N;2;2399343;1;100;0;100
14545;189;1003154;MATEMÁTICA;N;2;2399343;1;133;0;133
14544;189;1003153;EDUCAÇÃO FÍSICA;N;2;2399343;1;66;0;66
14543;189;1003152;ARTE;N;2;2399343;1;66;0;66
14542;189;1003151;BIOLOGIA;N;2;2399343;1;66;0;66
14541;189;1003150;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;N;2;2399343;1;100;0;100
14540;189;1005113;GESTÃO AGROINDUSTRIAL;N;2;2399345;1;66;0;66
14539;189;1005112;ANÁLISE SENSORIAL;N;2;2399345;1;33;0;33
14538;189;1005111;TECNOLOGIA DE PRODUTOS DE ORIGEM ANIMAL;N;2;2399345;1;100;0;100
14537;189;1005110;SAÚDE E SEGURANÇA NO TRABALHO;N;2;2399345;1;33;0;33
14536;189;1005109;GESTÃO AMBIENTAL E TRATAMENTO DE RESÍDUOS;N;2;2399345;1;33;0;33
14535;189;1005108;PROJETO INTEGRADOR;N;2;2399345;1;4;0;133
14534;189;1005107;ARTE;N;2;2399345;1;33;0;55
14533;189;1005106;GEOGRAFIA;N;2;2399345;1;33;0;55
14532;189;1005105;HISTÓRIA;N;2;2399345;1;33;0;58
14531;189;1005104;MATEMÁTICA;N;2;2399345;1;66;0;88
14530;189;1005103;LÍNGUA INGLESA;N;2;2399345;1;33;0;55
14529;189;1005102;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;N;2;2399345;1;66;0;88
14528;189;1005101;HIGIENE E CONTROLE DE QUALIDADE;N;2;2399345;1;66;0;66
14527;189;1005100;PROCESSAMENTO E CONSERVAÇÃO DE ALIMENTOS;N;2;2399345;1;66;0;66
14526;189;1005099;TECNOLOGIA DE PRODUTOS DE ORIGEM VEGETAL;N;2;2399345;1;100;0;100
14525;189;1005098;PROJETO INTEGRADOR;N;2;2399345;1;4;0;133
14524;189;1005097;FILOSOFIA;N;2;2399345;1;33;0;53
14523;189;1005096;LÍNGUA ESPANHOLA;N;2;2399345;1;33;0;51
14522;189;1005095;FÍSICA;N;2;2399345;1;33;0;53
14521;189;1005094;QUÍMICA;N;2;2399345;1;33;0;53
14520;189;1005093;BIOLOGIA;N;2;2399345;1;33;0;51
14519;189;1005092;MATEMÁTICA;N;2;2399345;1;66;0;85
14518;189;1005091;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;N;2;2399345;1;66;0;85
14517;189;1005090;MICROBIOLOGIA DE ALIMENTOS;N;2;2399345;1;66;0;66
14516;189;1005089;PRODUÇÃO AGROPECUÁRIA;N;2;2399345;1;66;0;73
14515;189;1005088;COMPOSIÇÃO DE ALIMENTOS E NUTRIÇÃO;N;2;2399345;1;66;0;73
14514;189;1005087;PROJETO INTEGRADOR;N;2;;1;4;0;133
14513;189;1005086;SOCIOLOGIA;N;2;2399345;1;33;0;50
14512;189;1005085;INFORMÁTICA;N;2;2399345;1;33;0;50
14511;189;1005084;EDUCAÇÃO FÍSICA;N;2;2399345;1;33;0;50
14510;189;1005083;QUÍMICA;N;2;2399345;1;66;0;83
14509;189;1005082;BIOLOGIA;N;2;2399345;1;33;0;53
14508;189;1005081;MATEMÁTICA;N;2;2399345;1;66;0;83
14507;189;1005080;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;N;2;2399345;1;66;0;83
14504;696;MANT20RO;ROBÓTICA;T;2;4033236;1;66;0;66
14503;696;MANT20MM;MANUTENÇÃO DE MICROCOMPUTADORES;T;2;4033236;1;100;0;100
14502;696;MANT20SSI;SEGURANÇA EM SISTEMAS DA INFORMAÇÃO;T;2;4033236;1;66;0;66
14501;696;MANT20RC-II;REDES DE COMPUTADORES II;T;2;4033236;1;66;0;66
14500;696;MANT20RC-I;REDES DE COMPUTADORES I;T;2;4033236;1;66;0;66
14499;696;MANT20LOP;LÓGICA DE PROGRAMAÇÃO;T;2;4033236;1;66;0;66
14498;696;MANT20EL;ELETRÔNICA;T;2;4033236;1;50;0;50
14497;696;MANT20AE;ADMINISTRAÇÃO E EMPREENDEDORISMO;T;2;4033236;1;50;0;50
14496;696;MANT20LII;INGLÊS INSTRUMENTAL;T;2;4033236;1;33;0;33
14495;696;MANT2020OAC;ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES;T;2;4033236;1;66;0;66
14494;696;MANT20SO;SISTEMAS OPERACIONAIS;T;2;4033236;1;66;0;66
14493;696;MANT20II;INTRODUÇÃO A INFORMÁTICA;T;2;4033236;1;66;0;66
14492;696;MANT20LM;LÓGICA MATEMÁTICA;T;2;4033236;1;33;0;33
14491;150;09025AEE5;ATENDIMENDO EDUCACIONAL ESPECIALIZADO - BIO;G;1;77498;1;36;0;37
14490;696;MANT20PI;PORTUGUÊS INSTRUMENTAL;T;2;4033236;1;33;0;33
14489;150;09042AEE01;ATENDIMENDO EDUCACIONAL ESPECIALIZADO - ZOO;T;1;3174;1;40;0;40
