id;num_tombamento;denominacao;id_marca_produto;id_material;id_unidade_resp_atual;valor;data_inicio_uso;ano_balanco
193932;1045511;MICROFONE DE MESA;33615;11736;305;251.180.000;28/07/2020;2020
193931;1045510;GAVETEIRO VOLANTE C/ 03 GAVETAS 400 X 450X 600;33629;12006;424;579.000.000;24/07/2020;2020
193930;1045509;MESA DE REUNIÃƒO REDONDA;33629;1578;424;668.000.000;24/07/2020;2020
193929;1045508;MESA DE REUNIÃƒO REDONDA;33629;1578;424;668.000.000;24/07/2020;2020
193928;1045507;MESA PARA SERVIDOR 140CM;33629;12243;424;610.000.000;24/07/2020;2020
193927;1045506;MESA DE REUNIÃƒO REDONDA;33629;1578;424;668.000.000;24/07/2020;2020
193926;1045505;MESA DE REUNIÃƒO REDONDA;33629;1578;424;668.000.000;24/07/2020;2020
193925;1045504;ARMÃRIO ALTO 2 PORTAS 110MM X 160MM;29991;11885;383;673.550.000;22/07/2020;2020
193924;1045503;ARMÃRIO ALTO 2 PORTAS 110MM X 160MM;29991;11885;383;673.550.000;22/07/2020;2020
193923;1045502;PROJETOR;31019;1678;383;3.650.000.000;22/07/2020;2020
193922;1045501;CONJUNTO LONGARINA 03 LUGARES;32286;11671;383;970.200.000;22/07/2020;2020
193921;1045500;ARMÃRIO ALTO COM 02 PORTAS;29991;12242;424;673.540.000;20/07/2020;2020
193920;1045499;ARMÃRIO BAIXO FECHADO 800MMX478MMX740MM;29991;10246;424;372.380.000;20/07/2020;2020
193919;1045498;DISTRIBUIDOR DE CALCÃRIO;31815;12203;482;4.798.000.000;24/07/2020;2020
193918;1045497;ARMÃRIO BAIXO FECHADO 800MMX478MMX740MM;29991;10246;424;372.380.000;15/07/2020;2020
193917;1045496;ARMÃRIO ALTO COM 02 PORTAS;29991;12242;424;673.540.000;15/07/2020;2020
193916;1045495;MESA DE INOX PARA MANIPULAÃ‡ÃƒO DE ALIMENTOS;29765;12241;424;1.089.360.000;15/07/2020;2020
193915;1045494;MESA DE INOX PARA MANIPULAÃ‡ÃƒO DE ALIMENTOS;29765;12241;424;1.089.360.000;15/07/2020;2020
193914;1045493;MESA INOX COM PRATELEIRA INFERIOR;29765;12240;424;1.035.720.000;15/07/2020;2020
193913;1045492;MESA INOX COM PRATELEIRA INFERIOR;29765;12240;424;1.035.720.000;15/07/2020;2020
193912;1045491;MESA INOX COM PRATELEIRA INFERIOR;29765;12240;424;1.035.720.000;15/07/2020;2020
193911;1045490;MESA INOX COM PRATELEIRA INFERIOR;29765;12240;424;1.035.720.000;15/07/2020;2020
193910;1045489;MESA INOX COM PRATELEIRA INFERIOR;29765;12240;424;1.035.720.000;15/07/2020;2020
193909;1045488;MESA INOX COM PRATELEIRA INFERIOR;29765;12240;424;1.035.720.000;15/07/2020;2020
193908;1045487;MESA INOX COM PRATELEIRA INFERIOR;29765;12240;424;1.035.720.000;15/07/2020;2020
193907;1045486;MESA INOX COM PRATELEIRA INFERIOR;29765;12240;424;1.035.720.000;15/07/2020;2020
193906;1045485;MESA INOX COM PRATELEIRA INFERIOR;29765;12240;424;1.035.720.000;15/07/2020;2020
193905;1045484;MESA INOX COM PRATELEIRA INFERIOR;29765;12240;424;1.035.720.000;15/07/2020;2020
193904;1045483;ESTANTE EM AÃ‡O INOXIDÃVEL;33699;12230;424;988.990.000;09/07/2020;2020
193903;1045482;ESTANTE EM AÃ‡O INOXIDÃVEL;33699;12230;424;988.990.000;09/07/2020;2020
193902;1045481;ESTANTE EM AÃ‡O INOXIDÃVEL;33699;12230;424;988.990.000;09/07/2020;2020
193901;1045480;ESTANTE EM AÃ‡O INOXIDÃVEL;33699;12230;424;988.990.000;09/07/2020;2020
193900;1045479;ESTANTE EM AÃ‡O INOXIDÃVEL;33699;12230;424;988.990.000;09/07/2020;2020
193899;1045478;ESTANTE EM AÃ‡O INOXIDÃVEL;33699;12230;424;988.990.000;09/07/2020;2020
193898;1045477;ESTANTE EM AÃ‡O INOXIDÃVEL;33699;12230;424;988.990.000;09/07/2020;2020
193897;1045476;ESTANTE EM AÃ‡O INOXIDÃVEL;33699;12230;424;988.990.000;09/07/2020;2020
193896;1045475;ESTANTE EM AÃ‡O INOXIDÃVEL;33699;12230;424;988.990.000;09/07/2020;2020
193895;1045474;ESTANTE EM AÃ‡O INOXIDÃVEL;33699;12230;424;988.990.000;09/07/2020;2020
193894;1045473;MEDIDOR MULTIPARAMETROS;31342;11501;146;11.498.000.000;22/07/2020;2020
193893;1045472;GPS AGRICOLA;33698;11557;168;7.993.850.000;22/07/2020;2020
193892;1045471;MICROFONE;33694;5528;185;1.199.640.000;21/07/2020;2020
193891;1045470;PROJETOR MÃ“VEL;31019;1676;185;3.650.000.000;21/07/2020;2020
193890;1045469;PASS THROUGH AQUECIDO;29938;12194;197;4.488.960.000;07/07/2020;2020
193889;1045468;PASS THROUGH REFRIGERADO;29938;12193;197;4.179.730.000;07/07/2020;2020
193888;1045467;CARRO PLATAFORMA C/ 02 PLANOS;29938;12192;197;679.710.000;07/07/2020;2020
193887;1045466;CARRO PLATAFORMA C/ 02 PLANOS;29938;12192;197;679.710.000;07/07/2020;2020
193886;1045465;CARRO PLATAFORMA C/ 02 PLANOS;29938;12192;197;679.710.000;07/07/2020;2020
193885;1045464;CARRO PLATAFORMA C/ 02 PLANOS;29938;12192;197;679.710.000;07/07/2020;2020
193884;1045463;CARRO PLATAFORMA C/ 02 PLANOS;29938;12192;197;679.710.000;07/07/2020;2020
193883;1045462;CARRO PLATAFORMA C/ 01 PLANO;29938;12191;197;749.990.000;07/07/2020;2020
193882;1045461;CARRO COLETOR DE LIXO;29938;11984;197;799.990.000;07/07/2020;2020
193881;1045460;CARRO COLETOR DE LIXO;29938;11984;197;799.990.000;07/07/2020;2020
193880;1045459;CARRO COLETOR DE LIXO;29938;11984;197;799.990.000;07/07/2020;2020
193879;1045458;CARRO COLETOR DE LIXO;29938;11984;197;799.990.000;07/07/2020;2020
193878;1045457;CARRO COLETOR DE LIXO;29938;11984;197;799.990.000;07/07/2020;2020
193877;1045456;CARRO COLETOR DE LIXO;29938;11984;197;799.990.000;07/07/2020;2020
193876;1045455;CARRO COLETOR DE LIXO;29938;11984;197;799.990.000;07/07/2020;2020
193875;1045454;AGITADOR MAGNÃ‰TICO COM AQUECIMENTO;30189;1412;265;1.165.000.000;20/07/2020;2020
193874;1045453;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193873;1045452;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193872;1045451;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193871;1045450;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193870;1045449;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193869;1045448;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193868;1045447;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193867;1045446;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193866;1045445;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193865;1045444;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193864;1045443;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193863;1045442;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193862;1045441;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193861;1045440;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193860;1045439;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193859;1045438;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193858;1045437;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193857;1045436;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193856;1045435;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193855;1045434;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193854;1045433;CADEIRA FIXA DE APROXIMAÃ‡ÃƒO S/ BRAÃ‡O;32286;10242;265;350.280.000;20/07/2020;2020
193853;1045432;PROJETOR EPSON POWERLITE X39;31019;11934;466;2.607.990.000;16/07/2020;2020
193852;1045431;NOTEBOOK LENOVO THINKPAD E490;31683;12201;345;4.550.000.000;15/07/2020;2020
193851;1045430;CARTA DE SOLOS;33697;11672;305;1.641.330.000;15/07/2020;2020
193850;1045429;CARTA DE SOLOS;33697;11672;305;1.641.330.000;15/07/2020;2020
193849;1045428;CARTA DE SOLOS;33697;11672;305;1.641.330.000;15/07/2020;2020
193848;1045427;NOTEBOOK LENOVO THINKPAD E490;31683;12201;345;4.550.000.000;15/07/2020;2020
193847;1045426;NOTEBOOK LENOVO THINKPAD E490;31683;12201;345;4.550.000.000;15/07/2020;2020
193846;1045425;NOTEBOOK LENOVO THINKPAD E490;31683;12201;345;4.550.000.000;15/07/2020;2020
193845;1045424;NOTEBOOK LENOVO THINKPAD E490;31683;12201;360;4.550.000.000;15/07/2020;2020
193844;1045423;NOTEBOOK LENOVO THINKPAD E490;31683;12201;360;4.550.000.000;15/07/2020;2020
193843;1045422;PROJETOR EPSON POWERLITE W39;33451;10638;360;2.607.990.000;15/07/2020;2020
193842;1045421;PROJETOR EPSON POWERLITE W39;33451;10638;360;2.607.990.000;15/07/2020;2020
193841;1045420;MESA DE ÃUDIO 24 CANAIS;33696;5536;146;4.304.820.000;15/07/2020;2020
193840;1045419;CÃ‚MERA DIGITAL;30098;8620;185;2.246.440.000;07/07/2020;2020
